Predicted Values,True Values,dayofmonth,dayofweek,month
214.34619902632585,205,1,6,1
134.93848748783967,139,2,0,1
155.40999619475951,141,3,1,1
159.79160273633352,155,4,2,1
173.6845687888508,175,5,3,1
180.6887513250058,198,6,4,1
193.29766826517334,190,7,5,1
194.7488842485418,173,8,6,1
134.89526468421718,150,9,0,1
157.04498444776436,164,10,1,1
154.80397418233952,162,11,2,1
169.3134683258777,171,12,3,1
180.3411450721269,175,13,4,1
191.8941136989688,197,14,5,1
200.3885986404439,212,15,6,1
135.47952056955,135,16,0,1
158.81225879024169,165,17,1,1
153.45310476980558,172,18,2,1
167.47242154180458,179,19,3,1
182.4121978282874,204,20,4,1
190.79997470229318,173,21,5,1
203.64634458440742,187,22,6,1
132.61559784691235,127,23,0,1
155.51860971468886,155,24,1,1
156.69358667544475,133,25,2,1
163.85579822398176,155,26,3,1
175.75549901835075,179,27,4,1
191.1005757832845,179,28,5,1
196.74536535795232,206,29,6,1
131.31258233077278,134,30,0,1
156.2846687883084,146,31,1,1
152.91475223469934,176,1,2,2
178.52831295318356,171,2,3,2
199.75625598616352,208,3,4,2
206.6689506526982,207,4,5,2
221.7958000497838,239,5,6,2
153.72603394928774,141,6,0,2
171.05212713963738,171,7,1,2
184.86488202958753,189,8,2,2
186.23803229536315,185,9,3,2
196.22322931140116,205,10,4,2
212.6582625890096,230,11,5,2
225.96199113036892,228,12,6,2
150.8072556946372,152,13,0,2
174.6902965838035,181,14,1,2
173.16464943997016,185,15,2,2
186.8219870589619,173,16,3,2
198.8494207039421,179,17,4,2
215.70320101733705,202,18,5,2
221.56616146116903,242,19,6,2
145.08461928646466,134,20,0,2
173.54144787415316,177,21,1,2
173.7574897250106,157,22,2,2
181.74515947326472,194,23,3,2
197.364198765712,211,24,4,2
212.76434684451124,224,25,5,2
225.73253546468368,218,26,6,2
147.8398191602846,145,27,0,2
173.38540345150432,175,28,1,2
174.00289592146328,214,1,2,3
213.51637936476072,204,2,3,3
232.11751641146293,255,3,4,3
248.60918913594833,241,4,5,3
257.8244416536709,262,5,6,3
187.25338998995176,168,6,0,3
199.30001176427504,171,7,1,3
231.54873629193207,202,8,2,3
222.15215737185827,208,9,3,3
233.80501819401434,231,10,4,3
246.0156268300434,260,11,5,3
270.70212972070476,256,12,6,3
175.44499945640018,180,13,0,3
206.99999499692967,214,14,1,3
211.7658656695803,221,15,2,3
216.70338662806353,210,16,3,3
238.70223821792206,242,17,4,3
252.37389956972947,259,18,5,3
274.1459696311449,243,19,6,3
174.99691128543964,166,20,0,3
209.53405579458376,200,21,1,3
203.02648550364574,233,22,2,3
221.48595473169735,203,23,3,3
237.8970184810405,221,24,4,3
253.67023255582353,213,25,5,3
265.3340149111991,242,26,6,3
171.721867983224,181,27,0,3
209.60698478482118,207,28,1,3
207.07414837367287,181,29,2,3
216.21888740825852,227,30,3,3
234.68383778817406,229,31,4,3
256.11899783182344,294,1,5,4
298.16199825331023,290,2,6,4
216.4024729644825,196,3,0,4
238.74428292735865,226,4,1,4
229.3588148746585,248,5,2,4
253.19090433697602,251,6,3,4
269.13957599736204,281,7,4,4
325.80967058427086,307,8,5,4
319.66851490921727,300,9,6,4
206.34249380789151,220,10,0,4
237.29165725968232,255,11,1,4
241.7581717241501,238,12,2,4
256.57617034017494,252,13,3,4
278.5374182350879,270,14,4,4
298.12051716260066,314,15,5,4
307.9863127227818,319,16,6,4
208.76600538379898,192,17,0,4
244.42000073939016,244,18,1,4
240.16256665437868,262,19,2,4
256.39598580821803,260,20,3,4
279.39612265675714,277,21,4,4
299.44682839326015,309,22,5,4
310.0639777835404,310,23,6,4
211.79773497022143,211,24,0,4
241.42889418824961,244,25,1,4
245.6825645435547,252,26,2,4
256.48202250338545,252,27,3,4
275.76632643863013,272,28,4,4
298.26516198366335,286,29,5,4
314.9372621159946,295,30,6,4
202.46402608788958,228,1,0,5
253.87611825018575,250,2,1,5
261.13710836134305,273,3,2,5
274.00532945058694,278,4,3,5
297.20407217740467,296,5,4,5
312.554996727029,304,6,5,5
332.70303474179855,351,7,6,5
239.17096401005438,238,8,0,5
267.88494407012513,252,9,1,5
257.0531760528629,233,10,2,5
279.13163884914866,245,11,3,5
299.580032754684,288,12,4,5
311.449012426654,308,13,5,5
334.0341829769259,335,14,6,5
222.4012234769707,225,15,0,5
259.79852842166474,264,16,1,5
258.4303945079391,242,17,2,5
278.8841901402866,305,18,3,5
292.50022963061383,312,19,4,5
320.2849984429722,297,20,5,5
336.6329258382266,322,21,6,5
226.86111520602753,212,22,0,5
263.3537369463538,266,23,1,5
254.29270823113075,263,24,2,5
279.4402479883229,283,25,3,5
302.8151023872142,272,26,4,5
317.9674271270578,333,27,5,5
332.0813507251387,342,28,6,5
223.91578253358057,234,29,0,5
254.21652567199817,265,30,1,5
257.83076764642647,245,31,2,5
280.62221476435116,310,1,3,6
313.2412254940664,285,2,4,6
334.2871156390702,325,3,5,6
352.91096811368516,333,4,6,6
240.3533123005127,233,5,0,6
267.32833153753927,285,6,1,6
279.73083890601447,276,7,2,6
309.412261690939,274,8,3,6
320.56441837176135,331,9,4,6
332.5918363165056,333,10,5,6
357.5926349386518,380,11,6,6
233.95030041597238,218,12,0,6
280.10127985663166,281,13,1,6
276.4805873855894,284,14,2,6
