Predicted Values,True Values,dayofmonth,dayofweek,month
565.0269080421632,508,1,6,1
351.50089730627144,356,2,0,1
410.92520818884725,433,3,1,1
420.4811013241043,397,4,2,1
454.1798271381041,453,5,3,1
474.2328883253714,481,6,4,1
503.05814695011134,489,7,5,1
517.0706112983381,574,8,6,1
357.4487607230177,322,9,0,1
419.5180747083133,398,10,1,1
428.94976143843735,419,11,2,1
446.88772441844696,425,12,3,1
469.8493843984535,477,13,4,1
512.0635021955451,509,14,5,1
528.6882202208718,538,15,6,1
351.9681333678519,347,16,0,1
417.29426068092937,429,17,1,1
416.6545293547889,418,18,2,1
451.5861112729391,428,19,3,1
476.7907778688451,472,20,4,1
498.67858317799175,500,21,5,1
540.5370083723893,552,22,6,1
355.0220460344782,330,23,0,1
413.70980985208655,437,24,1,1
426.2502675096249,430,25,2,1
434.14441761213595,440,26,3,1
474.4666310914537,479,27,4,1
506.1380273087626,485,28,5,1
533.828350143761,503,29,6,1
352.1554267725652,356,30,0,1
423.1202862069687,388,31,1,1
414.05744217827225,488,1,2,2
488.21368515703136,480,2,3,2
509.68045459619964,555,3,4,2
547.0390506212344,532,4,5,2
588.7524249034678,555,5,6,2
412.16053839705194,397,6,0,2
454.7645123417234,464,7,1,2
505.9815781146964,422,8,2,2
485.2224299463188,495,9,3,2
529.2647246609187,500,10,4,2
543.3178421615368,551,11,5,2
594.8426268270915,568,12,6,2
391.5329332885077,398,13,0,2
464.59535600177253,466,14,1,2
458.472287849777,453,15,2,2
497.5170309005981,471,16,3,2
528.4666510869494,521,17,4,2
566.7745600922709,562,18,5,2
585.7524328355422,613,19,6,2
396.37307991951013,415,20,0,2
460.06867773390616,464,21,1,2
468.46852257966304,453,22,2,2
490.1106147768652,551,23,3,2
536.5131733988156,525,24,4,2
551.4613424737682,548,25,5,2
611.7495654470032,635,26,6,2
392.91275213684196,352,27,0,2
463.77887592583204,458,28,1,2
460.93368366199786,544,1,2,3
580.317459039644,601,2,3,3
606.8497704530811,630,3,4,3
648.2152444620361,657,4,5,3
684.4588383336296,685,5,6,3
507.9336294571614,497,6,0,3
531.2934704984283,494,7,1,3
628.1673987761816,563,8,2,3
607.3777397379955,610,9,3,3
615.2749092758378,644,10,4,3
643.6866568180477,668,11,5,3
716.2993491657754,677,12,6,3
463.59877492047156,449,13,0,3
550.3494543305343,595,14,1,3
571.8294118067926,553,15,2,3
572.913802018643,620,16,3,3
643.2162999988278,657,17,4,3
653.1605483528903,630,18,5,3
715.7431322562253,715,19,6,3
470.09803145497347,462,20,0,3
556.2240707439115,560,21,1,3
554.9274724622002,532,22,2,3
599.5807032075455,559,23,3,3
619.3016428270122,606,24,4,3
661.9899938639929,671,25,5,3
706.5521112785419,680,26,6,3
469.78844562105144,467,27,0,3
564.2453370646318,552,28,1,3
551.6921071077442,567,29,2,3
583.6584217075934,550,30,3,3
630.7862712939015,605,31,4,3
672.105951162309,767,1,5,4
811.5037440511143,774,2,6,4
564.6419152657246,569,3,0,4
638.9943882760336,611,4,1,4
625.0766913874751,629,5,2,4
686.8338461036539,672,6,3,4
703.2826819673857,763,7,4,4
868.5160554584792,821,8,5,4
829.4360776369205,810,9,6,4
553.2756579027256,538,10,0,4
637.5148240768095,611,11,1,4
645.1873771709135,622,12,2,4
684.2840330649843,662,13,3,4
726.6184837736865,734,14,4,4
776.4278107744386,769,15,5,4
809.8350812208583,813,16,6,4
543.4882498972794,567,17,0,4
637.3775698107412,654,18,1,4
644.6945491184225,613,19,2,4
693.3027536396613,750,20,3,4
741.931119066917,695,21,4,4
776.4082128193905,791,22,5,4
834.1071819898417,799,23,6,4
557.746568511494,570,24,0,4
645.3906115715137,609,25,1,4
643.0952997014602,609,26,2,4
697.9389963813802,709,27,3,4
726.739968809553,813,28,4,4
775.0783599012276,768,29,5,4
822.3811422430655,835,30,6,4
553.4327656117013,606,1,0,5
678.1066886869004,725,2,1,5
694.4225028467109,616,3,2,5
738.8918981657108,743,4,3,5
802.0937923670491,770,5,4,5
815.6155471776357,833,6,5,5
882.9863229051908,873,7,6,5
627.5590547614476,634,8,0,5
701.0021517083725,678,9,1,5
678.77061935819,743,10,2,5
744.9576064602217,778,11,3,5
790.8116445329716,817,12,4,5
830.8521594119003,840,13,5,5
882.9722870972683,875,14,6,5
595.4950464808127,548,15,0,5
696.3528531168332,649,16,1,5
697.7069490545174,756,17,2,5
738.4472884417256,740,18,3,5
768.7157427512785,771,19,4,5
837.169066726484,835,20,5,5
886.7910087381234,942,21,6,5
590.4277431622824,612,22,0,5
694.4576402486047,709,23,1,5
695.0920371220192,700,24,2,5
753.9253265590152,743,25,3,5
796.4958486326715,778,26,4,5
830.772298564457,829,27,5,5
896.9421401929786,863,28,6,5
583.5492345609447,590,29,0,5
682.6781341240486,636,30,1,5
676.6993386757305,674,31,2,5
748.5896489650687,843,1,3,6
821.0694250606676,829,2,4,6
856.6954606150022,901,3,5,6
947.9300288327714,934,4,6,6
637.4094023530116,658,5,0,6
722.6620013111016,753,6,1,6
747.8797966048797,754,7,2,6
838.3551516209474,780,8,3,6
846.7301482663235,814,9,4,6
884.5837505005976,878,10,5,6
936.6356865719637,925,11,6,6
619.8299563967367,579,12,0,6
734.3108508989891,741,13,1,6
736.8047368519684,770,14,2,6
786.4009352673521,753,15,3,6
820.8739793144842,840,16,4,6
888.9751210112801,944,17,5,6
947.4199010797521,945,18,6,6
620.3237742551347,632,19,0,6
751.9501533631911,737,20,1,6
749.2691266865214,716,21,2,6
793.4628192142328,793,22,3,6
827.0411570419302,805,23,4,6
892.9525989622554,878,24,5,6
939.5613020949742,961,25,6,6
620.3096979961475,629,26,0,6
728.5728652060708,710,27,1,6
746.5920769397845,725,28,2,6
780.8471267905762,787,29,3,6
844.6309317287734,795,30,4,6
873.6840840273281,956,1,5,7
1012.5597961761733,1009,2,6,7
679.7439458363434,682,3,0,7
773.146924886175,804,4,1,7
768.453689017587,798,5,2,7
845.1654496148905,860,6,3,7
871.6152744007042,886,7,4,7
998.7331435338339,981,8,5,7
995.4866476350209,989,9,6,7
661.1305182941934,682,10,0,7
779.938017589294,792,11,1,7
782.60472699187,776,12,2,7
831.7753634017637,830,13,3,7
884.3381787792524,904,14,4,7
928.427448380061,947,15,5,7
1011.5830426637759,971,16,6,7
666.4247964334419,693,17,0,7
788.5017853074452,757,18,1,7
772.4077269297769,772,19,2,7
841.5968527097931,885,20,3,7
896.1331159763714,832,21,4,7
927.1897535671225,1004,22,5,7
1022.1786358554592,990,23,6,7
655.9885162760248,658,24,0,7
791.6388585057786,782,25,1,7
790.8858751219442,771,26,2,7
841.0408853006294,820,27,3,7
889.7012961891224,878,28,4,7
933.7448562283745,963,29,5,7
995.9025091242721,1018,30,6,7
670.1160026167264,704,31,0,7
781.5547468823125,662,1,1,8
701.0962235920807,737,2,2,8
768.6149953969499,711,3,3,8
778.321997556158,778,4,4,8
865.1457198106428,827,5,5,8
895.7103437867692,836,6,6,8
561.2705938865175,585,7,0,8
619.5014008630743,695,8,1,8
692.9631302294066,676,9,2,8
735.3136905741623,703,10,3,8
796.4098918542942,795,11,4,8
830.0486282773992,798,12,5,8
897.9103837099602,870,13,6,8
606.5137234900823,613,14,0,8
681.4459207367828,693,15,1,8
686.8935602579942,666,16,2,8
744.9261819117447,711,17,3,8
785.0358201612463,814,18,4,8
835.5699790672144,789,19,5,8
889.9062859520992,922,20,6,8
603.1398777750065,580,21,0,8
682.1513978031209,710,22,1,8
704.0713647243311,691,23,2,8
732.5843934857031,765,24,3,8
792.5416163217952,753,25,4,8
825.2640626945278,842,26,5,8
913.6874967918476,888,27,6,8
572.8423002374103,568,28,0,8
709.6499605786731,677,29,1,8
683.3080346484413,732,30,2,8
742.4579185408285,744,31,3,8
770.1172012773087,720,1,4,9
793.0063471638342,805,2,5,9
836.3069206264546,789,3,6,9
525.2259200171312,572,4,0,9
659.0679869849911,586,5,1,9
628.4788126007398,612,6,2,9
712.7429271370848,701,7,3,9
672.392703774639,749,8,4,9
785.1584237490525,789,9,5,9
816.8680127684703,855,10,6,9
568.1159994688561,538,11,0,9
631.1632257432422,681,12,1,9
664.5001129240474,681,13,2,9
693.9298359540036,690,14,3,9
756.4990352366796,691,15,4,9
763.4318396405062,811,16,5,9
842.8238977093926,841,17,6,9
535.2020419959655,501,18,0,9
643.8269729663363,620,19,1,9
649.8167607144197,643,20,2,9
695.3379708708009,652,21,3,9
715.1530053683301,740,22,4,9
778.8418174882164,762,23,5,9
822.1337230347773,778,24,6,9
545.1741465751758,556,25,0,9
640.3264194329014,673,26,1,9
649.9588317529043,608,27,2,9
697.1031350654295,703,28,3,9
734.5168630753388,691,29,4,9
765.9654536296358,791,30,5,9
831.1156965003094,763,1,6,10
489.1248360697856,522,2,0,10
613.0206149753859,610,3,1,10
617.4125464719465,601,4,2,10
639.1509387002071,660,5,3,10
677.9121180821886,659,6,4,10
725.7385184646329,691,7,5,10
720.1100293148985,769,8,6,10
520.9050270219078,513,9,0,10
600.4341998838564,555,10,1,10
596.4231746711513,584,11,2,10
647.0391730771145,637,12,3,10
680.619841638275,684,13,4,10
716.3417652801355,752,14,5,10
774.135508536615,743,15,6,10
513.6380836807867,555,16,0,10
600.4386168618431,618,17,1,10
603.1678541202774,563,18,2,10
648.5274924666365,626,19,3,10
692.6708360866388,703,20,4,10
727.5454270795664,791,21,5,10
766.6326481749048,771,22,6,10
513.5651919145813,534,23,0,10
606.8565623306414,623,24,1,10
594.5277546209028,575,25,2,10
646.411179258742,654,26,3,10
682.7239304979076,659,27,4,10
731.2497700390151,710,28,5,10
769.3110112354835,724,29,6,10
503.98828516087735,533,30,0,10
587.1291275706818,643,31,1,10
596.4250228565862,595,1,2,11
670.1550781198522,666,2,3,11
735.740118739449,745,3,4,11
767.5374375500461,771,4,5,11
823.3967216958036,881,5,6,11
568.6547632713547,536,6,0,11
640.7241007939657,645,7,1,11
693.7660067354074,657,8,2,11
691.8981352441689,721,9,3,11
729.6361050133338,730,10,4,11
780.2698951729318,790,11,5,11
823.5047009953042,786,12,6,11
541.0964232303878,538,13,0,11
647.845927368172,617,14,1,11
636.7731349256566,670,15,2,11
696.3776630361309,672,16,3,11
725.6135059700092,731,17,4,11
764.1752869573166,785,18,5,11
834.7933598563751,828,19,6,11
539.7073424153706,551,20,0,11
648.0625600249251,625,21,1,11
651.8472973660311,665,22,2,11
692.0590226457199,710,23,3,11
730.272131028839,766,24,4,11
775.1931012452325,791,25,5,11
822.3851167105814,826,26,6,11
561.2676252101293,553,27,0,11
643.7842352811923,606,28,1,11
639.660952980884,653,29,2,11
710.9653826796194,650,30,3,11
723.0836218290707,511,1,4,12
588.7522588365456,528,2,5,12
621.5692966163834,592,3,6,12
324.8251992662182,392,4,0,12
497.71061139299775,442,5,1,12
443.0191599822348,476,6,2,12
526.4272793412885,467,7,3,12
348.059279415079,530,8,4,12
569.9550806379622,595,9,5,12
602.5137387954375,602,10,6,12
403.37359266939814,410,11,0,12
466.95192665259594,460,12,1,12
487.55620082586313,462,13,2,12
512.0680133078923,484,14,3,12
530.4347399820318,493,15,4,12
556.836801571094,538,16,5,12
601.011896830306,553,17,6,12
383.65862214311267,391,18,0,12
452.5304705987429,460,19,1,12
465.8845370069822,451,20,2,12
490.34794554512257,549,21,3,12
527.9493977010926,506,22,4,12
550.5520302748984,537,23,5,12
596.2493285502052,604,24,6,12
397.473971412771,370,25,0,12
459.9657709349623,463,26,1,12
474.3881128265267,457,27,2,12
495.98382493785823,499,28,3,12
520.6743944271212,532,29,4,12
546.2253798649391,609,30,5,12
591.2794873884624,610,31,6,12
