Predicted Values,True Values,dayofmonth,dayofweek,month
565.40121591855,517,1,6,1
348.97632825736684,344,2,0,1
412.8287514174362,438,3,1,1
425.081718572521,437,4,2,1
459.8205669637447,464,5,3,1
480.0493622270599,447,6,4,1
511.9960330321845,516,7,5,1
525.6151973697775,543,8,6,1
345.8701347689342,393,9,0,1
417.71211139048336,400,10,1,1
421.0997910930134,428,11,2,1
458.50560307635334,468,12,3,1
472.4548024652718,463,13,4,1
519.9758478731583,517,14,5,1
532.944711870506,559,15,6,1
342.94334256275795,304,16,0,1
422.241997735543,426,17,1,1
418.29630464346985,470,18,2,1
437.9672816648362,415,19,3,1
480.1132260004548,488,20,4,1
513.149779919446,519,21,5,1
534.4931340716463,533,22,6,1
344.588440057075,365,23,0,1
417.22373206029295,429,24,1,1
414.9956872083831,404,25,2,1
442.25362204688514,446,26,3,1
480.1362096401615,481,27,4,1
503.5433764800472,525,28,5,1
532.8961341950758,531,29,6,1
343.20468456209204,349,30,0,1
418.7699218832756,390,31,1,1
419.783725370192,495,1,2,2
479.9752781595578,498,2,3,2
522.0044650226416,514,3,4,2
561.9463085202476,562,4,5,2
596.9297925986727,547,5,6,2
397.3862473964852,375,6,0,2
456.7463297630671,450,7,1,2
488.7083714870677,462,8,2,2
486.37248177906935,487,9,3,2
527.372211458142,514,10,4,2
562.9620733503626,543,11,5,2
588.9087897426678,607,12,6,2
393.0830854724781,386,13,0,2
453.075046042513,442,14,1,2
464.73943861601157,459,15,2,2
498.4132529386967,501,16,3,2
530.5172321547681,485,17,4,2
571.4645236001227,572,18,5,2
593.2238118188645,606,19,6,2
385.0174283987203,392,20,0,2
464.9869496937596,460,21,1,2
461.78044874960403,440,22,2,2
489.820855579527,504,23,3,2
535.9225204253111,516,24,4,2
566.3106446281039,600,25,5,2
593.4472315337636,570,26,6,2
393.5890121239291,391,27,0,2
470.5768858728238,430,28,1,2
455.36580647730625,527,1,2,3
573.0333982290352,585,2,3,3
623.1738255141795,629,3,4,3
661.0164051784785,683,4,5,3
692.7005601229558,685,5,6,3
504.65737562621916,430,6,0,3
545.2359402723057,549,7,1,3
596.8357511087045,558,8,2,3
595.1857338885084,583,9,3,3
616.9356168649426,666,10,4,3
655.0346771671578,661,11,5,3
703.1798138061592,736,12,6,3
471.8925424170122,515,13,0,3
531.0934270367895,547,14,1,3
562.864304881507,511,15,2,3
585.0824077000049,592,16,3,3
