Predicted Values,True Values,dayofmonth,dayofweek,month
286.04,249,1,6,1
197.99,178,2,0,1
225.6,211,3,1,1
229.56,189,4,2,1
246.73,245,5,3,1
247.35,233,6,4,1
279.06,258,7,5,1
282.51,259,8,6,1
183.74,199,9,0,1
212.02,189,10,1,1
206.91,220,11,2,1
232.03,228,12,3,1
236.78,217,13,4,1
258.96,243,14,5,1
271.7,275,15,6,1
181.4,180,16,0,1
207.17,215,17,1,1
210.36,197,18,2,1
230.1,228,19,3,1
243.58,269,20,4,1
252.35,252,21,5,1
281.79,247,22,6,1
179.05,168,23,0,1
209.52,218,24,1,1
207.16,239,25,2,1
220.17,200,26,3,1
238.94,229,27,4,1
254.9,214,28,5,1
274.39,240,29,6,1
179.11,174,30,0,1
211.7,205,31,1,1
216.64,229,1,2,2
238.08,252,2,3,2
258.15,279,3,4,2
261.72,275,4,5,2
293.14,284,5,6,2
201.78,199,6,0,2
219.24,232,7,1,2
228.65,192,8,2,2
253.92,278,9,3,2
270.43,262,10,4,2
278.94,293,11,5,2
293.38,304,12,6,2
199.88,194,13,0,2
239.68,226,14,1,2
228.88,233,15,2,2
258.63,236,16,3,2
271.75,270,17,4,2
293.49,275,18,5,2
296.2,305,19,6,2
200.19,177,20,0,2
236.48,244,21,1,2
226.59,256,22,2,2
258.04,254,23,3,2
283.3,276,24,4,2
286.02,282,25,5,2
295.53,281,26,6,2
194.54,205,27,0,2
238.97,213,28,1,2
255.97,310,1,2,3
268.68,282,2,3,3
295.07,318,3,4,3
315.29,343,4,5,3
316.35,312,5,6,3
220.71,246,6,0,3
258.85,291,7,1,3
279.94,278,8,2,3
290.45,270,9,3,3
316.89,266,10,4,3
330.34,334,11,5,3
358.26,356,12,6,3
236.9,236,13,0,3
267.88,281,14,1,3
286.96,259,15,2,3
294.11,298,16,3,3
320.67,298,17,4,3
336.14,328,18,5,3
356.46,330,19,6,3
242.04,227,20,0,3
285.38,266,21,1,3
274.57,283,22,2,3
288.8,320,23,3,3
329.55,303,24,4,3
338.89,345,25,5,3
359.13,339,26,6,3
239.13,227,27,0,3
281.68,269,28,1,3
280.9,259,29,2,3
288.0,317,30,3,3
320.65,322,31,4,3
340.42,380,1,5,4
384.3,401,2,6,4
242.78,251,3,0,4
293.37,352,4,1,4
294.81,325,5,2,4
308.08,366,6,3,4
348.86,400,7,4,4
386.01,378,8,5,4
412.14,427,9,6,4
273.44,264,10,0,4
321.68,356,11,1,4
322.65,330,12,2,4
354.37,348,13,3,4
364.54,355,14,4,4
386.89,405,15,5,4
417.45,400,16,6,4
279.84,258,17,0,4
327.77,287,18,1,4
325.27,310,19,2,4
347.22,340,20,3,4
364.03,343,21,4,4
382.83,400,22,5,4
416.34,399,23,6,4
278.36,290,24,0,4
331.75,324,25,1,4
333.05,321,26,2,4
349.83,343,27,3,4
362.61,361,28,4,4
383.99,368,29,5,4
420.32,385,30,6,4
279.03,298,1,0,5
330.52,326,2,1,5
337.3,373,3,2,5
359.23,344,4,3,5
383.51,417,5,4,5
412.63,449,6,5,5
425.92,452,7,6,5
288.66,274,8,0,5
344.82,349,9,1,5
344.03,339,10,2,5
363.44,363,11,3,5
392.47,347,12,4,5
411.81,427,13,5,5
433.25,425,14,6,5
285.55,315,15,0,5
342.62,364,16,1,5
347.29,353,17,2,5
357.96,390,18,3,5
390.64,424,19,4,5
415.27,414,20,5,5
435.24,446,21,6,5
282.5,326,22,0,5
355.41,324,23,1,5
343.56,352,24,2,5
359.89,359,25,3,5
389.24,398,26,4,5
414.32,430,27,5,5
436.29,465,28,6,5
280.89,287,29,0,5
342.16,328,30,1,5
347.63,337,31,2,5
350.29,378,1,3,6
410.87,409,2,4,6
415.39,466,3,5,6
449.0,441,4,6,6
289.24,334,5,0,6
356.72,370,6,1,6
362.5,376,7,2,6
391.94,366,8,3,6
424.99,426,9,4,6
435.92,469,10,5,6
469.1,479,11,6,6
307.87,352,12,0,6
385.32,382,13,1,6
373.38,400,14,2,6
390.32,390,15,3,6
421.69,439,16,4,6
441.09,423,17,5,6
477.84,496,18,6,6
313.94,311,19,0,6
386.19,367,20,1,6
370.73,373,21,2,6
387.24,424,22,3,6
420.27,439,23,4,6
440.51,436,24,5,6
477.8,475,25,6,6
322.74,335,26,0,6
394.18,369,27,1,6
375.21,363,28,2,6
387.51,381,29,3,6
418.33,408,30,4,6
442.02,488,1,5,7
481.88,455,2,6,7
320.44,329,3,0,7
396.74,384,4,1,7
385.84,361,5,2,7
408.41,399,6,3,7
426.68,469,7,4,7
458.58,464,8,5,7
488.22,548,9,6,7
318.53,344,10,0,7
401.24,386,11,1,7
402.19,384,12,2,7
418.49,386,13,3,7
439.2,454,14,4,7
460.95,476,15,5,7
487.05,498,16,6,7
323.92,336,17,0,7
399.42,396,18,1,7
398.66,369,19,2,7
415.26,462,20,3,7
445.16,459,21,4,7
473.5,458,22,5,7
492.71,516,23,6,7
325.7,371,24,0,7
398.93,388,25,1,7
400.6,359,26,2,7
421.7,433,27,3,7
443.03,419,28,4,7
475.88,483,29,5,7
490.22,467,30,6,7
334.69,342,31,0,7
395.39,358,1,1,8
374.57,315,2,2,8
372.83,373,3,3,8
394.73,411,4,4,8
421.36,398,5,5,8
433.77,436,6,6,8
337.71,323,7,0,8
348.16,347,8,1,8
344.13,371,9,2,8
365.4,384,10,3,8
392.89,402,11,4,8
406.57,420,12,5,8
437.22,444,13,6,8
297.63,276,14,0,8
340.59,301,15,1,8
344.64,374,16,2,8
364.07,386,17,3,8
392.86,401,18,4,8
410.73,423,19,5,8
433.48,421,20,6,8
287.83,293,21,0,8
344.08,360,22,1,8
346.86,313,23,2,8
357.39,360,24,3,8
388.89,391,25,4,8
405.88,431,26,5,8
430.58,421,27,6,8
285.63,308,28,0,8
349.34,348,29,1,8
345.34,321,30,2,8
356.05,375,31,3,8
389.4,358,1,4,9
395.95,380,2,5,9
418.2,387,3,6,9
285.46,266,4,0,9
322.33,312,5,1,9
332.27,320,6,2,9
344.77,354,7,3,9
367.31,331,8,4,9
386.71,400,9,5,9
415.87,393,10,6,9
280.01,264,11,0,9
321.51,329,12,1,9
325.21,345,13,2,9
345.82,343,14,3,9
365.44,384,15,4,9
393.94,407,16,5,9
413.07,420,17,6,9
274.12,281,18,0,9
323.85,328,19,1,9
326.4,341,20,2,9
350.13,335,21,3,9
368.49,370,22,4,9
392.43,389,23,5,9
414.05,434,24,6,9
274.05,286,25,0,9
327.35,317,26,1,9
327.02,356,27,2,9
348.81,320,28,3,9
364.84,370,29,4,9
392.07,404,30,5,9
412.15,381,1,6,10
288.2,255,2,0,10
324.98,314,3,1,10
310.39,317,4,2,10
330.52,343,5,3,10
353.1,365,6,4,10
381.03,427,7,5,10
381.79,368,8,6,10
264.32,282,9,0,10
305.71,325,10,1,10
297.51,315,11,2,10
331.92,319,12,3,10
336.63,346,13,4,10
369.11,381,14,5,10
388.62,394,15,6,10
261.0,258,16,0,10
297.94,292,17,1,10
303.57,315,18,2,10
330.2,316,19,3,10
343.37,326,20,4,10
369.32,362,21,5,10
386.48,396,22,6,10
255.8,238,23,0,10
298.12,309,24,1,10
294.91,329,25,2,10
334.79,322,26,3,10
347.78,341,27,4,10
368.81,382,28,5,10
393.59,384,29,6,10
259.0,279,30,0,10
299.19,271,31,1,10
289.89,297,1,2,11
335.88,362,2,3,11
354.14,369,3,4,11
391.41,424,4,5,11
413.14,397,5,6,11
268.26,266,6,0,11
304.99,368,7,1,11
328.72,346,8,2,11
353.07,317,9,3,11
363.02,338,10,4,11
382.0,390,11,5,11
416.98,395,12,6,11
279.88,254,13,0,11
327.12,320,14,1,11
322.43,299,15,2,11
346.09,363,16,3,11
366.51,371,17,4,11
389.56,393,18,5,11
417.24,392,19,6,11
281.2,286,20,0,11
325.98,330,21,1,11
337.93,285,22,2,11
343.3,367,23,3,11
366.72,344,24,4,11
378.18,378,25,5,11
429.21,414,26,6,11
272.34,274,27,0,11
327.76,322,28,1,11
329.69,326,29,2,11
350.23,370,30,3,11
358.4,267,1,4,12
311.25,277,2,5,12
294.08,299,3,6,12
276.55,190,4,0,12
216.53,220,5,1,12
228.13,244,6,2,12
254.73,253,7,3,12
266.47,270,8,4,12
273.44,278,9,5,12
268.85,300,10,6,12
200.53,191,11,0,12
221.85,239,12,1,12
