Predicted Values,True Values,dayofmonth,dayofweek,month
489.89787897535285,454,1,6,1
312.14835604347905,319,2,0,1
362.04060145628324,343,3,1,1
371.4317852442401,378,4,2,1
399.9878600749435,381,5,3,1
417.8907244947987,429,6,4,1
443.9932719690042,470,7,5,1
449.15174629234394,459,8,6,1
309.41950951304904,327,9,0,1
371.56469881415984,369,10,1,1
365.1098257300692,371,11,2,1
396.76331667297205,389,12,3,1
410.66371947687736,397,13,4,1
443.94366383713356,438,14,5,1
468.24840616036823,472,15,6,1
313.08843233317754,335,16,0,1
365.291072705506,337,17,1,1
359.51926215991995,360,18,2,1
389.276143194853,398,19,3,1
413.6508950337084,390,20,4,1
432.3818318897175,426,21,5,1
473.58148171075305,454,22,6,1
316.6743954343038,322,23,0,1
367.2994632504197,386,24,1,1
369.49264513396344,346,25,2,1
379.9836332497435,407,26,3,1
416.32838700965664,432,27,4,1
438.39271527130774,446,28,5,1
464.53785051566234,480,29,6,1
313.5451899764376,332,30,0,1
365.4466806237834,380,31,1,1
364.9764462082895,405,1,2,2
412.714460707015,380,2,3,2
455.5700448069038,446,3,4,2
477.0014069161626,499,4,5,2
518.6459849707098,509,5,6,2
354.59304437481484,366,6,0,2
389.1890688927161,401,7,1,2
429.01493708950153,367,8,2,2
420.4461695297869,425,9,3,2
452.5743941885667,432,10,4,2
481.0060528206887,523,11,5,2
514.915764066136,529,12,6,2
355.50449311707786,331,13,0,2
401.5923847218292,361,14,1,2
405.2007369452404,408,15,2,2
433.16078716118506,438,16,3,2
464.6894277778702,415,17,4,2
490.6311061305242,487,18,5,2
521.7049496469335,503,19,6,2
348.7326810124578,338,20,0,2
403.0154443222346,407,21,1,2
409.8554423495444,397,22,2,2
425.62435289633146,437,23,3,2
471.96158098124585,498,24,4,2
482.36486850001535,472,25,5,2
524.2116664822461,546,26,6,2
353.4323392414736,366,27,0,2
406.70901582923403,393,28,1,2
398.7580418127837,489,1,2,3
496.7683193671765,546,2,3,3
528.2945135857226,532,3,4,3
568.0674870104776,638,4,5,3
601.196377734399,632,5,6,3
429.58726636853686,416,6,0,3
452.2038213850247,481,7,1,3
538.3910774669857,507,8,2,3
513.7161824030118,508,9,3,3
532.6340267944397,538,10,4,3
557.2127930156203,578,11,5,3
614.0757494389327,657,12,6,3
409.43882028733066,380,13,0,3
472.94851657070836,493,14,1,3
494.0240642584177,470,15,2,3
494.91858583197615,520,16,3,3
548.531181238337,546,17,4,3
575.4774275913151,590,18,5,3
617.4234240164296,638,19,6,3
419.1821100802409,390,20,0,3
473.48173000917456,465,21,1,3
479.9942311148407,521,22,2,3
516.9280619637357,524,23,3,3
543.6293395512985,614,24,4,3
581.5281436869191,554,25,5,3
611.3986425024705,636,26,6,3
421.0552297343748,428,27,0,3
